IdReparacion,IdMoto,IdUsuario,Descripcion,Estado,FechaInicio,FechaFin,Total,Fase,Marca,Modelo,UsuarioNombre,cliente
1,2873,2693,instalacion y calibracion de test y chequeo por falla detectada.,Finalizado,2026-03-02 00:00:00,2026-03-05 00:00:00,5767,Cliente informado,TVS,CB190R,Jose Ramirez,Cliente_194
2,4944,2595,servicio integral para carroceria y frenos para mejorar rendimiento.,Finalizado,2026-03-03 00:00:00,2026-03-07 00:00:00,6419,Cliente informado,Italika,R15,Carlos Mendoza,Cliente_152
3,3254,5214,diagnostico y reparacion de eje y pistones incluyendo ajuste final.,Finalizado,2026-03-23 00:00:00,2026-03-25 00:00:00,4019,Cliente informado,Yamaha,CB190R,Carlos Mendoza,Cliente_060
4,567,904,ajuste tecnico de filtro de aire y revision debido a desgaste.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,2352,Cliente informado,Italika,Pulsar NS200,Carlos Mendoza,Cliente_153
5,4715,2721,servicio integral para niveles y cambio de aceite debido a desgaste.,Finalizado,2026-03-01 00:00:00,2026-03-01 00:00:00,1901,Cliente informado,Honda,FT150,Jose Ramirez,Cliente_147
6,2146,3659,instalacion y calibracion de radiador y embrague segun solicitud del cliente.,Finalizado,2026-03-05 00:00:00,2026-03-06 00:00:00,5786,Entregado,Kawasaki,NKD 125,Jose Ramirez,Cliente_197
7,2774,3021,inspeccion avanzada de culata y motor por falla detectada.,En proceso,2026-03-24 00:00:00,2026-03-25 00:00:00,2121,Cliente informado,Suzuki,Duke 390,Carlos Mendoza,Cliente_013
8,3888,3717,inspeccion avanzada de polarizado y escape deportivo segun solicitud del cliente.,Finalizado,2026-03-23 00:00:00,2026-03-24 00:00:00,5729,Entregado,TVS,CB190R,Jose Ramirez,Cliente_165
9,74,1383,correccion especializada de ruido y diagnostico segun solicitud del cliente.,Finalizado,2026-03-09 00:00:00,2026-03-11 00:00:00,5492,Cliente informado,Kawasaki,NKD 125,Jose Ramirez,Cliente_197
10,1974,4930,instalacion y calibracion de luces y fallo electrico por falla detectada.,Finalizado,2026-03-08 00:00:00,2026-03-10 00:00:00,3085,Entregado,AKT,R15,Jose Ramirez,Cliente_010
11,4650,3408,diagnostico y reparacion de kit aerodinamico y cromado segun solicitud del cliente.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,5351,Entregado,Kawasaki,Pulsar NS200,Carlos Mendoza,Cliente_098
12,3185,4552,correccion especializada de personalizacion y cromado para mejorar rendimiento.,Finalizado,2026-03-22 00:00:00,2026-03-26 00:00:00,1669,Entregado,Kawasaki,GN125,Jose Ramirez,Cliente_230
13,3254,5214,diagnostico y reparacion de eje y pistones incluyendo ajuste final.,Finalizado,2026-03-23 00:00:00,2026-03-25 00:00:00,4019,Cliente informado,Yamaha,CB190R,Carlos Mendoza,Cliente_167
14,4610,3782,optimizacion del sistema filtro de aceite y balanceo incluyendo ajuste final.,Finalizado,2026-03-29 00:00:00,2026-04-02 00:00:00,2868,Entregado,Honda,NKD 125,Jose Ramirez,Cliente_179
15,2516,4849,revision completa de centralita y sistema electrico segun solicitud del cliente.,Finalizado,2026-03-05 00:00:00,2026-03-05 00:00:00,1153,Entregado,Yamaha,Boxer 150,Carlos Mendoza,Cliente_132
16,2848,4660,ajuste tecnico de transmision y biela debido a desgaste.,Finalizado,2026-03-22 00:00:00,2026-03-25 00:00:00,5042,Cliente informado,Kawasaki,Duke 390,Carlos Mendoza,Cliente_189
17,2697,2328,revision completa de lubricacion y filtro de aceite para mejorar rendimiento.,Finalizado,2026-03-25 00:00:00,2026-03-25 00:00:00,1766,Entregado,Kawasaki,NKD 125,Jose Ramirez,Cliente_014
18,762,2527,inspeccion avanzada de chequeo y inspeccion por falla detectada.,Finalizado,2026-03-07 00:00:00,2026-03-08 00:00:00,857,Cliente informado,Honda,Apache RTR 200,Jose Ramirez,Cliente_299
19,135,606,mantenimiento preventivo en fallo electrico y sensores por falla detectada.,Finalizado,2026-03-14 00:00:00,2026-03-15 00:00:00,4138,Entregado,Yamaha,Gixxer 250,Carlos Mendoza,Cliente_218
20,4192,1891,ajuste tecnico de modificacion y modificacion con pruebas posteriores.,Finalizado,2026-03-19 00:00:00,2026-03-23 00:00:00,3811,Cliente informado,Honda,FT150,Carlos Mendoza,Cliente_248
21,2887,4433,correccion especializada de motor y carroceria incluyendo ajuste final.,Finalizado,2026-03-07 00:00:00,2026-03-09 00:00:00,5356,Entregado,Yamaha,GSX-R750,Jose Ramirez,Cliente_297
22,1009,2926,mantenimiento preventivo en escaneo y problema por falla detectada.,Finalizado,2026-03-05 00:00:00,2026-03-08 00:00:00,5254,Cliente informado,Yamaha,Duke 390,Jose Ramirez,Cliente_083
23,1808,4786,correccion especializada de alternador y luces debido a desgaste.,Finalizado,2026-03-17 00:00:00,2026-03-20 00:00:00,1948,Cliente informado,Yamaha,Pulsar NS200,Jose Ramirez,Cliente_150
24,4902,4493,instalacion y calibracion de encendido y bateria para mejorar rendimiento.,Finalizado,2026-03-06 00:00:00,2026-03-10 00:00:00,3422,Entregado,Honda,RC 200,Jose Ramirez,Cliente_286
25,1920,4634,diagnostico y reparacion de amortiguadores y diferencial incluyendo ajuste final.,Finalizado,2026-03-10 00:00:00,2026-03-14 00:00:00,4362,Entregado,Honda,Boxer 150,Jose Ramirez,Cliente_158
26,3813,2595,optimizacion del sistema encendido y centralita y verificacion completa.,Finalizado,2026-03-13 00:00:00,2026-03-15 00:00:00,4036,Entregado,AKT,CBR 600RR,Carlos Mendoza,Cliente_298
27,3651,3524,correccion especializada de niveles y chequeo y verificacion completa.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,1889,Cliente informado,Bajaj,DM200,Carlos Mendoza,Cliente_071
28,709,1627,correccion especializada de caja de cambios y motor para mejorar rendimiento.,Finalizado,2026-03-12 00:00:00,2026-03-15 00:00:00,2101,Cliente informado,Kawasaki,RC 200,Jose Ramirez,Cliente_251
29,4421,3643,optimizacion del sistema sensores y bateria debido a desgaste.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,572,Cliente informado,KTM,Apache RTR 200,Carlos Mendoza,Cliente_204
30,3368,376,ajuste tecnico de falla y inspeccion por falla detectada.,Finalizado,2026-03-06 00:00:00,2026-03-07 00:00:00,4137,Entregado,Suzuki,MT-07,Carlos Mendoza,Cliente_268
