IdReparacion,IdMoto,IdUsuario,Descripcion,Estado,FechaInicio,FechaFin,Total,Fase,Marca,Modelo,UsuarioNombre,cliente,CategoriaCliente
1,485,1384,servicio integral para alineacion y chequeo con pruebas posteriores.,Finalizado,2026-03-26 00:00:00,2026-03-30 00:00:00,3029,Entregado,Honda,GN125,Carlos Mendoza,Cliente_351,Normal
2,4823,1916,instalacion y calibracion de bujias y alineacion por falla detectada.,Finalizado,2026-03-15 00:00:00,2026-03-16 00:00:00,2414,Entregado,AKT,NKD 125,Carlos Mendoza,Cliente_293,Normal
3,3173,2302,diagnostico y reparacion de test y evaluacion para mejorar rendimiento.,Finalizado,2026-03-29 00:00:00,2026-03-19 00:00:00,4367,Entregado,Yamaha,MT-07,Carlos Mendoza,Cliente_125,En Riesgo
4,4271,3014,mantenimiento preventivo en caja de cambios y motor debido a desgaste.,Finalizado,2026-03-26 00:00:00,2026-03-28 00:00:00,1645,Cliente informado,Yamaha,FZ16,Jose Ramirez,Cliente_295,Normal
5,4884,3833,instalacion y calibracion de ruido y escaneo para mejorar rendimiento.,Finalizado,2026-03-05 00:00:00,2026-03-05 00:00:00,3625,Entregado,KTM,Z650,Jose Ramirez,Cliente_285,Normal
6,1271,3663,instalacion y calibracion de falla y diagnostico para mejorar rendimiento.,Finalizado,2026-03-08 00:00:00,2026-03-08 00:00:00,2099,Entregado,Yamaha,MT-07,Carlos Mendoza,Cliente_354,Normal
7,3282,4548,correccion especializada de encendido y fallo electrico y verificacion completa.,Finalizado,2026-03-24 00:00:00,2026-03-14 00:00:00,2589,Cliente informado,Kawasaki,Pulsar NS200,Carlos Mendoza,Cliente_015,VIP
8,3909,2476,ajuste tecnico de audio y velocidad por falla detectada.,Finalizado,2026-02-28 00:00:00,2026-03-01 00:00:00,2406,Entregado,Kawasaki,Gixxer 250,Jose Ramirez,Cliente_313,Normal
9,485,1384,inspeccion avanzada de pantalla y escape deportivo por falla detectada.,Finalizado,2026-03-26 00:00:00,2026-03-30 00:00:00,5733,Entregado,Kawasaki,GN125,Carlos Mendoza,Cliente_356,Normal
10,1273,3166,optimizacion del sistema cableado y motor de arranque con pruebas posteriores.,Finalizado,2026-03-01 00:00:00,2026-03-02 00:00:00,3313,Entregado,Bajaj,XR150L,Jose Ramirez,Cliente_012,VIP
11,3243,3177,correccion especializada de problema y inspeccion por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-12 00:00:00,3725,Entregado,KTM,Boxer 150,Carlos Mendoza,Cliente_211,Normal
12,4153,4138,servicio integral para encendido y motor de arranque incluyendo ajuste final.,Finalizado,2026-03-14 00:00:00,2026-03-16 00:00:00,1901,Entregado,Yamaha,NKD 125,Jose Ramirez,Cliente_402,Normal
13,353,761,correccion especializada de revision general y inspeccion segun solicitud del cliente.,Finalizado,2026-03-28 00:00:00,2026-04-01 00:00:00,2513,Cliente informado,Yamaha,DM200,Jose Ramirez,Cliente_315,Normal
14,158,396,inspeccion avanzada de eje y transmision debido a desgaste.,Finalizado,2026-03-04 00:00:00,2026-03-07 00:00:00,1132,Cliente informado,Yamaha,RC 200,Jose Ramirez,Cliente_329,Normal
15,4066,2108,correccion especializada de chequeo y alineacion para mejorar rendimiento.,Finalizado,2026-03-03 00:00:00,2026-03-06 00:00:00,4639,Entregado,Bajaj,NKD 125,Jose Ramirez,Cliente_264,Normal
16,4158,3606,inspeccion avanzada de chequeo y cambio de aceite segun solicitud del cliente.,Finalizado,2026-03-02 00:00:00,2026-03-04 00:00:00,2301,Entregado,Suzuki,DM200,Carlos Mendoza,Cliente_343,Normal
17,1400,656,correccion especializada de revision y cambio de aceite y verificacion completa.,En proceso,2026-03-08 00:00:00,2026-03-08 00:00:00,1904,Cliente informado,Italika,Pulsar NS200,Carlos Mendoza,Cliente_015,VIP
